"","Rho","Balance","M.Age","M.PD.L1.MPS","M.Hemoglobin","SD.Age","SD.PD.L1.MPS","SD.Hemoglobin","Energy","M.CG","SD.CG"
"3574","Ten",0,0.111009580148353,0.192336706862838,0.13874373164752,0.00821772801253884,0.254692641765263,0.472620249512158,0.253588422966268,0.6,0.459468291736341
"3575","Ten",0,0.0222019160296705,0.559524965419164,0.0138743731647521,0.0914185998818523,0.240433054579376,0.229061677194128,0.41668887723576,0.6,0.459468291736341
"3576","Ten",0,0.310826824415387,0.273934097653133,0.124869358482768,0.194362648294595,0.210157896441283,0.577429753248536,0.256210472598698,0.7,0.34960294939005
"3577","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3578","Ten",0,0.910278557216492,0.804317137790049,0.638221165578593,0.391042451305719,0.706907020663782,0.241815762762069,1.19248213389576,0.65,0.411636301174282
"3579","Ten",0,0.155413412207694,0.0407986953951474,0.0832462389885122,0.292117019193813,0.123971957603879,0.253806262715249,0.212069959475523,0.55,0.497214463005877
"3580","Ten",0,0.155413412207694,1.08407962049963,0.152618104812272,0.0244236753617777,1.08982856716765,0.217016408985777,0.743598784488978,0.55,0.497214463005877
"3581","Ten",0,0.177615328237364,0.0407986953951474,0.249738716965536,0.200853885605497,0.123971957603879,0.0405243911647974,0.210487558130063,0.55,0.497214463005877
"3582","Ten",0,0.177615328237364,0.0407986953951474,0.249738716965536,0.200853885605497,0.123971957603879,0.0405243911647974,0.210487558130063,0.55,0.497214463005877
"3583","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3584","Ten",0,0.288624908385717,0.209821862032187,0.804713643555617,0.062727430456826,0.167795455219993,0.0151759526334032,0.501943716723979,0.6,0.459468291736341
"3585","Ten",0,0.199817244267035,0.297247637878931,0.194241224306529,0.311493065408393,0.242697422643507,0.207839877675953,0.280699937967756,0.55,0.497214463005877
"3586","Ten",0,0.177615328237364,0.0174851551693489,0.06937186582376,0.321915970821428,0.155498133091557,0.240141113879792,0.243581705072298,0.55,0.497214463005877
"3587","Ten",0,0.244221076326376,0.565353350475614,0.388482448613057,0.397910575624629,0.656798985254595,0.0663455419527185,0.381349365654402,0.55,0.497214463005877
"3588","Ten",0,0.133211496178023,0.373016643612776,0.596598046084337,0.188452290955023,0.279037392455059,0.0771016407535879,0.358532544384563,0.65,0.411636301174282
"3589","Ten",0,0.310826824415387,0.221478632145086,0.277487463295041,0.264384531290174,0.160185263912487,0.198618680470542,0.270948044078382,0.65,0.411636301174282
