"","Rho","Balance","M.Age","M.ISFreq","SD.Age","SD.ISFreq","Energy","M.CG","SD.CG"
"3521","Ten",0,0.0552679423766206,0.362851818248537,0.316242959914099,0.23755465322876,0.212008024608205,0.642857142857143,0.412710152927779
"3522","Ten",0,6.30808536718839e-18,0.217711090949122,0.291518506572663,0.165526014027681,0.167651462711098,0.678571428571429,0.372473171834246
"3523","Ten",0,0.110535884753241,0.0725703636497075,0.336285606751446,0.27983694320513,0.163049158578612,0.571428571428571,0.474631146549323
"3524","Ten",0,0.110535884753241,0.217711090949122,0.266659053324548,0.424621993412357,0.171282890877821,0.535714285714286,0.498624481575437
"3525","Ten",0,0.165803827129862,0.362851818248537,0.0534953693959126,0.109479545433694,0.123452578677948,0.642857142857143,0.412710152927779
"3526","Ten",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064353,0.535714285714286,0.498624481575437
"3527","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3528","Ten",0,0.221071769506482,0.362851818248537,0.187255559383891,0.23755465322876,0.16103699028122,0.571428571428571,0.474631146549323
"3529","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3530","Ten",0,6.30808536718839e-18,0.217711090949122,0.291518506572663,0.165526014027681,0.167651462711098,0.678571428571429,0.372473171834246
"3531","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3532","Ten",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"3533","Ten",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019971,0.535714285714286,0.498624481575437
"3534","Ten",0,0.386875596636344,0.217711090949122,0.0326204549687141,0.165526014027681,0.183301436894357,0.642857142857143,0.412710152927779
"3535","Ten",0,0.165803827129862,0.507992545547952,0.293467789161988,0.33872251475047,0.327174356549204,0.571428571428571,0.474631146549323
"3536","Ten",0,0.0552679423766206,0.217711090949122,0.267169023841076,0.165526014027681,0.149777748198296,0.607142857142857,0.44629118765199
"3537","Ten",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814119,0.535714285714286,0.498624481575437
"3538","Ten",0,6.30808536718839e-18,0.217711090949122,0.291518506572663,0.165526014027681,0.167651462711098,0.678571428571429,0.372473171834246
"3539","Ten",0,0.221071769506482,0.0725703636497075,0.0132011319774068,0.350261685899693,0.128277699100462,0.678571428571429,0.372473171834246
"3540","Ten",0,0.110535884753241,0.0725703636497075,0.065719574711119,0.409973519596386,0.120422087617361,0.714285714285714,0.323103086329432
"3541","Ten",0,0.331607654259724,0.217711090949122,0.0199646987412084,0.165526014027681,0.146249057866442,0.571428571428571,0.474631146549323
"3542","Ten",0,0.221071769506482,0.362851818248537,0.344905872070473,0.368707180952648,0.192700448855986,0.571428571428571,0.474631146549323
"3543","Ten",0,0.0552679423766206,0.362851818248537,0.0598917450220402,0.109479545433694,0.142341853916165,0.642857142857143,0.412710152927779
"3544","Ten",0,0.165803827129862,0.507992545547952,0.0172778060126748,0.182273727578033,0.15406123317965,0.607142857142857,0.44629118765199
"3545","Ten",0,0.221071769506482,0.362851818248537,0.344905872070473,0.368707180952648,0.192700448855986,0.535714285714286,0.498624481575437
"3546","Ten",0,0.221071769506482,0.362851818248537,0.0313557474076491,0.109479545433694,0.143311707088877,0.678571428571429,0.372473171834246
"3547","Ten",0,0.276339711883103,0.217711090949122,0.0256724943015816,0.165526014027681,0.132170417363797,0.642857142857143,0.412710152927779
"3548","Ten",0,0.165803827129862,0.217711090949122,0.274821683732139,0.165526014027681,0.125214635600143,0.607142857142857,0.44629118765199
"3549","Ten",0,0.0552679423766206,0.0725703636497075,0.241978694679964,0.27983694320513,0.103390009100908,0.535714285714286,0.498624481575437
"3550","Ten",0,0.386875596636344,0.217711090949122,0.0326204549687141,0.165526014027681,0.183301436894357,0.642857142857143,0.412710152927779
"3551","Ten",0,0.331607654259724,0.217711090949122,0.0199646987412084,0.165526014027681,0.146249057866442,0.571428571428571,0.474631146549323
"3552","Ten",0,0.110535884753241,0.362851818248537,0.336285606751446,0.368707180952648,0.182465762064353,0.535714285714286,0.498624481575437
"3553","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.607142857142857,0.44629118765199
"3554","Ten",0,0.165803827129862,0.362851818248537,0.273130216213545,0.23755465322876,0.226891604978976,0.571428571428571,0.474631146549323
"3555","Ten",0,0.165803827129862,0.653133272847367,0.349895891421366,0.260310355520566,0.297883063556415,0.642857142857143,0.412710152927779
"3556","Ten",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019971,0.535714285714286,0.498624481575437
"3557","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.154709081584067,0.607142857142857,0.44629118765199
"3558","Ten",0,0.221071769506482,0.362851818248537,0.224126225751083,0.23755465322876,0.178082384812236,0.571428571428571,0.474631146549323
"3559","Ten",0,0.165803827129862,0.217711090949122,0.274821683732139,0.165526014027681,0.125214635600143,0.607142857142857,0.44629118765199
"3560","Ten",0,0.0552679423766206,0.798274000146782,0.285721745278916,0.205646638110074,0.371426139848774,0.678571428571429,0.372473171834246
"3561","Ten",0,0.221071769506482,0.217711090949122,0.261225306714205,0.424621993412357,0.254722527425322,0.535714285714286,0.498624481575437
"3562","Ten",0,0.0552679423766206,0.362851818248537,0.248684508803919,0.368707180952648,0.147118194019971,0.535714285714286,0.498624481575437
"3563","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3564","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3565","Ten",0,0.0552679423766206,0.362851818248537,0.32305498924156,0.23755465322876,0.202510562354129,0.607142857142857,0.44629118765199
"3566","Ten",0,6.30808536718839e-18,0.0725703636497075,0.328886060292915,0.27983694320513,0.158983588840799,0.535714285714286,0.498624481575437
"3567","Ten",0,0.276339711883103,0.507992545547952,0.0107651742774679,0.182273727578033,0.185457821702899,0.607142857142857,0.44629118765199
"3568","Ten",0,0.0552679423766206,0.362851818248537,0.0598917450220402,0.109479545433694,0.142341853916165,0.642857142857143,0.412710152927779
"3569","Ten",0,0.221071769506482,0.362851818248537,0.187255559383891,0.23755465322876,0.16103699028122,0.535714285714286,0.498624481575437
"3570","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3571","Ten",0,0.0552679423766206,0.653133272847367,0.241978694679964,0.260310355520566,0.285309965115101,0.607142857142857,0.44629118765199
"3572","Ten",0,0.110535884753241,0.362851818248537,0.229709890962579,0.23755465322876,0.138759494972381,0.571428571428571,0.474631146549323
"3573","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3574","Ten",0,0.221071769506482,0.362851818248537,0.224126225751083,0.23755465322876,0.178082384812236,0.607142857142857,0.44629118765199
"3575","Ten",0,0.276339711883103,0.0725703636497075,0.0256724943015816,0.409973519596386,0.155309286279897,0.678571428571429,0.372473171834246
"3576","Ten",0,0.0552679423766206,0.653133272847367,0.248684508803919,0.260310355520566,0.249180667669917,0.607142857142857,0.44629118765199
"3577","Ten",0,0.110535884753241,0.0725703636497075,0.261605414285199,0.221945524216474,0.117564732160556,0.607142857142857,0.44629118765199
"3578","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3579","Ten",0,0.165803827129862,0.798274000146782,0.293467789161988,0.205646638110074,0.412214541356164,0.678571428571429,0.372473171834246
"3580","Ten",0,0.221071769506482,0.217711090949122,0.0313557474076491,0.165526014027681,0.116320084132763,0.607142857142857,0.44629118765199
"3581","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3582","Ten",0,0.165803827129862,0.217711090949122,0.0189234465390302,0.165526014027681,0.125631689341664,0.535714285714286,0.498624481575437
"3583","Ten",0,0.0552679423766206,0.217711090949122,0.267169023841076,0.165526014027681,0.149777748198296,0.607142857142857,0.44629118765199
"3584","Ten",0,0.0552679423766206,0.0725703636497075,0.241978694679964,0.27983694320513,0.103390009100908,0.607142857142857,0.44629118765199
"3585","Ten",0,0.221071769506482,0.362851818248537,0.224126225751083,0.23755465322876,0.178082384812236,0.607142857142857,0.44629118765199
"3586","Ten",0,8.83131951406374e-18,0.362851818248537,0.366606055596467,0.23755465322876,0.193608631010582,0.678571428571429,0.372473171834246
"3587","Ten",0,0.221071769506482,0.217711090949122,0.0132011319774068,0.165526014027681,0.135312905518879,0.571428571428571,0.474631146549323
"3588","Ten",0,0.331607654259724,0.217711090949122,0.0199646987412084,0.165526014027681,0.146249057866442,0.571428571428571,0.474631146549323
"3589","Ten",0,0.386875596636344,0.217711090949122,0.0326204549687141,0.165526014027681,0.183301436894357,0.642857142857143,0.412710152927779
"3590","Ten",0,0.110535884753241,0.217711090949122,0.261605414285199,0.165526014027681,0.0985496867682982,0.642857142857143,0.412710152927779
"3591","Ten",0,0.0552679423766206,0.653133272847367,0.241978694679964,0.260310355520566,0.285309965115101,0.607142857142857,0.44629118765199
"3592","Ten",0,0.165803827129862,0.362851818248537,0.0534953693959126,0.109479545433694,0.123452578677948,0.678571428571429,0.372473171834246
"3593","Ten",0,0.0552679423766206,0.362851818248537,0.241978694679964,0.368707180952648,0.166708934814119,0.571428571428571,0.474631146549323
"3594","Ten",0,0.0552679423766206,0.362851818248537,0.278967052683221,0.23755465322876,0.167108278963434,0.571428571428571,0.474631146549323
"3595","Ten",0,0.110535884753241,0.217711090949122,0.266659053324548,0.424621993412357,0.171282890877821,0.535714285714286,0.498624481575437
