"","Method","Balance","M.Z1","M.Z2","M.Z3","SD.Z1","SD.Z2","SD.Z3","Energy","M.CG","SD.CG"
"162","MH",2,0.242278408673778,0.123689076956674,0.0550495789528906,0.307632848278443,0.0622278670057113,0.0437901392230959,0.213682385935918,0.65,0.337474278855276
"163","MH",4,0.293238293534738,0.0172587336505681,0.287046711640939,0.311851616538228,0.186805248686008,0.0316194146078557,0.251840399998433,0.4,0.459468291736341
"164","MH",0,0.133211496178022,0.0415812432866421,0.214894712868083,0.211428214633451,0.0795194214558896,0.239663999885664,0.1931444216822,0.65,0.411636301174282
"165","MH",2,0.319707590827256,0.347762278299406,0.00362331600390549,0.278048758694122,0.339855451492404,0.101449145594068,0.253409942705137,0.6,0.394405318873308
"166","MH",2,0.0274748710867177,0.138910072576554,0.0760643908101791,0.117974667918192,0.0489121409284605,0.156110962150733,0.246092975469232,0.65,0.337474278855276
"167","MH",2,0.297228150847214,0.140173591907658,0.00776658501944909,0.066275820092689,0.0115641224233194,0.117668452146933,0.183649837924422,0.65,0.337474278855276
"168","MH",0,0.244221076326375,0.177568361054935,0.0133844219266895,0.218570989771502,0.058160521985563,0.596089250267969,0.248383597010858,0.55,0.497214463005877
"169","MH",2,0.432104790727462,0.0199885580890451,0.0766958508555554,0.0892817940679217,0.12909536633039,0.188497936530962,0.221640836585862,0.65,0.337474278855276
"170","MH",2,0.54450199062767,0.700086767223281,0.288492512954211,0.0563721025409738,0.0633489817056304,0.0803310176814609,0.610413572700046,0.6,0.394405318873308
"171","MH",2,0.10740176879353,0.243874110775287,0.0138796868832158,0.135631069255707,0.186569053824732,0.0243807741742872,0.201673353607835,0.65,0.337474278855276
"172","MH",0,0.0666057480890108,0.0408399151416541,0.649234300095276,0.206536239869229,0.0566984875346188,0.332100619949336,0.326050898713593,0.75,0.263523138347365
"173","MH",0,0.0666057480890132,0.394931899278313,0.0259346978377918,0.0828305381008696,0.0315744702500675,0.166644632497185,0.274765388527469,0.65,0.411636301174282
"174","MH",0,0.0444038320593403,0.173357510925893,0.416825865758022,0.255150088646498,0.060045249655783,0.00939956045255408,0.262922645963586,0.7,0.34960294939005
"175","MH",2,0.0274748710867177,0.138120371388237,0.408509168084465,0.313412608887868,0.165550990750846,0.0852241818278117,0.273162184046326,0.6,0.394405318873308
